filename,document_type,document_label,requires_confirmation,format_success,report_generated,preview_generated,preview_error,download_available,agent_trace_generated,risk_blocking_count,risk_high_count,risk_warning_count,risk_info_count,manual_review_required,review_strategy,before_score,after_score,format_score,risk_score,ai_language_score,status,failure_reasons,output_filename
byau_journal_paper_template.docx,academic_paper,标准论文,False,True,True,True,,True,True,0,2,1,1,True,manual_review_recommended,73,85,85,67,,PASS,,byau_journal_paper_template_formatted_20260602153041.docx
cczu_huide_econ_management_liberal_arts_thesis_template_2025.docx,academic_paper,标准论文,False,True,True,True,,True,True,0,0,1,2,False,advisory_notice_only,74,84,84,90,,PASS,,cczu_huide_econ_management_liberal_arts_thesis_template_2025_formatted_20260602153043.docx
cczu_huide_science_thesis_template_2025.docx,academic_paper,标准论文,False,True,True,True,,True,True,0,0,1,2,False,advisory_notice_only,77,84,84,90,,PASS,,cczu_huide_science_thesis_template_2025_formatted_20260602153047.docx
ecnu_course_assessment_report_template.docx,unknown,未知文档,False,True,True,True,,True,True,0,0,1,1,False,advisory_notice_only,73,73,73,91,,PASS,,ecnu_course_assessment_report_template_formatted_20260602153049.docx
hbue_comprehensive_simulation_lab_report_template.docx,academic_paper,标准论文,False,True,True,True,,True,True,0,0,1,1,False,advisory_notice_only,76,86,86,91,,PASS,,hbue_comprehensive_simulation_lab_report_template_formatted_20260602153049.docx
hbue_digital_management_team_lab_report_template.docx,academic_paper,标准论文,False,True,True,True,,True,True,0,0,1,1,False,advisory_notice_only,75,83,83,91,,PASS,,hbue_digital_management_team_lab_report_template_formatted_20260602153050.docx
hbue_erp2_personal_lab_report_template.docx,academic_paper,标准论文,False,True,True,True,,True,True,0,0,1,1,False,advisory_notice_only,77,86,86,91,,PASS,,hbue_erp2_personal_lab_report_template_formatted_20260602153051.docx
nuaa_undergraduate_thesis_template_2026.docx,academic_paper,标准论文,False,True,True,True,,True,True,0,4,1,2,True,manual_review_recommended,75,86,86,42,,PASS,,nuaa_undergraduate_thesis_template_2026_formatted_20260602153054.docx
scut_graduate_literature_review_template.docx,academic_paper,标准论文,False,True,True,True,,True,True,0,0,1,1,False,advisory_notice_only,78,89,89,91,,PASS,,scut_graduate_literature_review_template_formatted_20260602153059.docx
scut_graduate_proposal_report_template.docx,academic_paper,标准论文,False,True,True,True,,True,True,0,0,1,2,False,advisory_notice_only,73,87,87,90,,PASS,,scut_graduate_proposal_report_template_formatted_20260602153059.docx
sdut_academic_master_thesis_template_2024.docx,academic_paper,标准论文,False,True,True,True,,True,True,0,3,1,2,True,manual_review_recommended,72,81,81,54,,PASS,,sdut_academic_master_thesis_template_2024_formatted_20260602153100.docx
sdut_academic_phd_thesis_template.docx,academic_paper,标准论文,False,True,True,True,,True,True,0,2,3,2,True,manual_review_recommended,70,80,80,58,,PASS,,sdut_academic_phd_thesis_template_formatted_20260602153103.docx
sdut_professional_master_thesis_template_2024.docx,academic_paper,标准论文,False,True,True,True,,True,True,0,3,1,2,True,manual_review_recommended,72,81,81,54,,PASS,,sdut_professional_master_thesis_template_2024_formatted_20260602153106.docx
seu_master_defense_meeting_form.docx,unknown,未知文档,False,True,True,True,,True,True,0,0,1,1,False,advisory_notice_only,71,80,80,91,,PASS,,seu_master_defense_meeting_form_formatted_20260602153107.docx
xit_undergraduate_thesis_body_sample_2026.docx,academic_paper,标准论文,False,True,True,True,,True,True,0,1,1,2,True,manual_review_recommended,77,88,88,78,,PASS,,xit_undergraduate_thesis_body_sample_2026_formatted_20260602153108.docx
zju_professional_practice_report_template.docx,academic_paper,标准论文,False,True,True,True,,True,True,0,0,1,1,False,advisory_notice_only,75,86,86,91,,PASS,,zju_professional_practice_report_template_formatted_20260602153108.docx
