filename,document_type,document_label,classification_confidence,requires_confirmation,format_success,modification_report_generated,preview_generated,preview_error,download_available,reference_check_present,reference_issue_count,reference_check_abnormal,figure_table_check_present,figure_table_issue_count,figure_table_check_abnormal,risk_blocking_count,risk_high_count,risk_warning_count,risk_info_count,agent_trace_generated,review_strategy,manual_review_required,manual_review_required_reasonable,before_score,after_score,status,failure_reasons,output_filename
byau_journal_paper_template.docx,academic_paper,标准论文,0.95,False,True,True,True,,True,True,1,True,True,3,True,0,2,1,1,True,manual_review_recommended,True,True,73,85,PASS,,byau_journal_paper_template_formatted_20260601190109.docx
cczu_huide_econ_management_liberal_arts_thesis_template_2025.docx,academic_paper,标准论文,0.95,False,True,True,True,,True,True,1,True,True,2,True,0,0,1,2,True,advisory_notice_only,False,True,74,84,PASS,,cczu_huide_econ_management_liberal_arts_thesis_template_2025_formatted_20260601190111.docx
cczu_huide_science_thesis_template_2025.docx,academic_paper,标准论文,0.95,False,True,True,True,,True,True,1,True,True,2,True,0,0,1,2,True,advisory_notice_only,False,True,77,84,PASS,,cczu_huide_science_thesis_template_2025_formatted_20260601190115.docx
ecnu_course_assessment_report_template.docx,unknown,未知文档,0.4,False,True,True,True,,True,True,1,True,True,1,True,0,0,1,1,True,advisory_notice_only,False,True,73,73,PASS,,ecnu_course_assessment_report_template_formatted_20260601190116.docx
hbue_comprehensive_simulation_lab_report_template.docx,academic_paper,标准论文,0.8,False,True,True,True,,True,True,1,True,True,1,True,0,0,1,1,True,advisory_notice_only,False,True,76,86,PASS,,hbue_comprehensive_simulation_lab_report_template_formatted_20260601190117.docx
hbue_digital_management_team_lab_report_template.docx,academic_paper,标准论文,0.8,False,True,True,True,,True,True,1,True,True,1,True,0,0,1,1,True,advisory_notice_only,False,True,75,83,PASS,,hbue_digital_management_team_lab_report_template_formatted_20260601190117.docx
hbue_erp2_personal_lab_report_template.docx,academic_paper,标准论文,0.7,False,True,True,True,,True,True,1,True,True,1,True,0,0,1,1,True,advisory_notice_only,False,True,77,86,PASS,,hbue_erp2_personal_lab_report_template_formatted_20260601190119.docx
scut_graduate_literature_review_template.docx,academic_paper,标准论文,0.95,False,True,True,True,,True,True,1,True,True,1,True,0,0,1,1,True,advisory_notice_only,False,True,78,89,PASS,,scut_graduate_literature_review_template_formatted_20260601190119.docx
scut_graduate_proposal_report_template.docx,academic_paper,标准论文,0.8,False,True,True,True,,True,True,1,True,True,2,True,0,0,1,2,True,advisory_notice_only,False,True,73,87,PASS,,scut_graduate_proposal_report_template_formatted_20260601190119.docx
zju_professional_practice_report_template.docx,academic_paper,标准论文,0.7,False,True,True,True,,True,True,1,True,True,1,True,0,0,1,1,True,advisory_notice_only,False,True,75,86,PASS,,zju_professional_practice_report_template_formatted_20260601190120.docx
